"ORIGIN NET (mindspore)","TARGET NET (pytorch)","shape of orig","shape of target","result of allclose","ratio of allclose","cosine similarity","mean & max diffs"
"NN_Conv2d_485_forward_input.0","NN_Conv2d_485_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","26.94%","0.32173","0.00837, 0.10097"
"NN_Conv2d_485_forward_output","NN_Conv2d_485_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_Conv2d_486_forward_input.0","NN_Conv2d_486_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","26.94%","0.32173","0.00837, 0.10097"
"NN_Conv2d_486_forward_output","NN_Conv2d_486_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_Conv2d_487_forward_input.0","NN_Conv2d_487_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","26.94%","0.32173","0.00837, 0.10097"
"NN_Conv2d_487_forward_output","NN_Conv2d_487_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_Conv2d_488_forward_input.0","NN_Conv2d_488_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","26.94%","0.32173","0.00837, 0.10097"
"NN_Conv2d_488_forward_output","NN_Conv2d_488_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_Conv2d_489_forward_input.0","NN_Conv2d_489_forward_input.0","(10, 736, 14, 14)","(10, 736, 14, 14)","False","26.94%","0.32173","0.00837, 0.10097"
"NN_Conv2d_489_forward_output","NN_Conv2d_489_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_490_forward_input.0","NN_BatchNorm2d_490_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_490_forward_output","NN_BatchNorm2d_490_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_491_forward_input.0","NN_BatchNorm2d_491_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_491_forward_output","NN_BatchNorm2d_491_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_492_forward_input.0","NN_BatchNorm2d_492_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_492_forward_output","NN_BatchNorm2d_492_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_493_forward_input.0","NN_BatchNorm2d_493_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_493_forward_output","NN_BatchNorm2d_493_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_494_forward_input.0","NN_BatchNorm2d_494_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_494_forward_output","NN_BatchNorm2d_494_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_495_forward_input.0","NN_BatchNorm2d_495_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_495_forward_output","NN_BatchNorm2d_495_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_496_forward_input.0","NN_BatchNorm2d_496_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"NN_BatchNorm2d_496_forward_output","NN_BatchNorm2d_496_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
"Functional_relu_69_forward_input.0","Functional_relu_69_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","0.02018","0.00714, 0.03366"
